Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 188, Loss: 0.7907, Val Acc@1: 57.880, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 189, Loss: 0.6577, Val Acc@1: 58.640, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 190, Loss: 0.7441, Val Acc@1: 58.500, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 191, Loss: 0.6968, Val Acc@1: 58.740, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 192, Loss: 0.6874, Val Acc@1: 58.090, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 193, Loss: 0.6261, Val Acc@1: 58.550, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 194, Loss: 0.6085, Val Acc@1: 58.260, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 195, Loss: 0.6011, Val Acc@1: 58.230, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 196, Loss: 0.6694, Val Acc@1: 58.230, Best Acc@1: 59.010
Fusion Gamma: 10, Prototype Contrast Weight: 2, Epoch: 197, Loss: 0.5794, Val Acc@1: 58.740, Best Acc@1: 59.010
